location_tier,trainer_level,club_name,members_count,avg_monthly_fee,service_years,high_profit
Спальный район,средний,Элит-фитнес Рублёвка,2513,11089,17.6,1
Спальный район,профи,Олимпийские надежды,1714,9145,0.8,1
Окраина/промзона,элита,FlexExpress Химки,1431,10523,0.3,1
Спальный район,профи,Тренерский центр,1845,6277,2.0,1
Спальный район,новички,FlexForge Gym,1935,4235,13.4,1
Окраина/промзона,профи,Железная тяга,505,9773,21.4,1
Спальный район,новички,Тяжёлый вес,2259,9778,0.2,1
ТЦ/бизнес-центр,средний,Железная тяга,1923,7868,23.4,1
Спальный район,новички,Ритм-фитнес Кунцево,1889,11755,2.7,1
ТЦ/бизнес-центр,профи,Спартанец,1717,2321,21.1,1
ТЦ/бизнес-центр,профи,Качалка на районе,1591,9025,12.1,1
Спальный район,новички,FlexForge Ultra,619,1662,16.5,1
Спальный район,средний,FlexForge Lux Патрики,2418,9277,12.8,1
Окраина/промзона,средний,FlexForge Studio,333,3432,12.0,0
Спальный район,средний,Лёгкая атлетика +,2230,5035,20.9,1
Спальный район,новички,FlexForge Basic Выхино,1650,7456,18.9,1
Спальный район,средний,Волна здоровья,1753,4946,12.1,1
ТЦ/бизнес-центр,профи,SportFlex Крылатское,1364,4290,2.9,1
Спальный район,новички,FlexForge Mini,2069,4207,3.0,1
ТЦ/бизнес-центр,новички,Олимпийские надежды,2019,9459,20.1,1
Окраина/промзона,средний,Элит-фитнес Рублёвка,2905,5433,13.3,1
ТЦ/бизнес-центр,элита,Элит-фитнес Рублёвка,1542,4885,12.1,1
Спальный район,профи,Адапт-фитнес,1664,8136,17.0,0
ТЦ/бизнес-центр,профи,FlexForge Ultra,2426,2422,21.5,1
Окраина/промзона,средний,Тяжёлый вес,1279,9589,15.8,1
Спальный район,профи,Тренерский центр,1378,11867,19.1,1
Спальный район,новички,FlexForge Studio,1895,11274,19.2,1
ТЦ/бизнес-центр,профи,FlexForge Ultra,310,2064,9.0,1
Окраина/промзона,элита,Фитнес-планета,2384,4758,6.9,1
ТЦ/бизнес-центр,профи,Тренерский центр,2479,4000,20.0,1
Окраина/промзона,элита,Элит-фитнес Рублёвка,667,6066,9.5,1
ТЦ/бизнес-центр,профи,Спартанец,2979,10679,22.6,1
ТЦ/бизнес-центр,новички,Качалка на районе,2728,8381,1.8,1
ТЦ/бизнес-центр,элита,Железная тяга,1013,5136,1.5,1
Спальный район,новички,Тренерский центр,1472,7530,23.2,1
Спальный район,средний,Заводной фитнес,1193,1723,16.2,1
ТЦ/бизнес-центр,новички,Тяжёлый вес,2231,7797,9.6,1
Окраина/промзона,новички,FlexForge Mini,522,1850,18.9,1
Спальный район,средний,Заводной фитнес,1103,8814,16.8,1
Спальный район,средний,FlexForge Studio,1741,3428,13.3,1
Спальный район,средний,FlexForge Basic Выхино,2199,9243,2.6,1
Спальный район,профи,FlexForge Studio,2015,10040,20.3,1
Спальный район,новички,Ритм-фитнес Кунцево,2853,6232,21.7,1
ТЦ/бизнес-центр,новички,FlexForge Premium ВДНХ,2676,2517,4.4,1
ТЦ/бизнес-центр,профи,FlexForge Metro,347,3726,21.3,1
Окраина/промзона,средний,FlexForge Lux Патрики,1341,8706,22.0,1
Окраина/промзона,профи,FlexForge Premium ВДНХ,1049,8670,13.8,1
Спальный район,профи,Фитнес-хаус,566,7707,16.4,1
Спальный район,профи,Тонус-клуб Коломенская,1289,3919,9.6,1
Спальный район,профи,Качалка на районе,2238,7740,7.1,1
Спальный район,средний,FlexForge Studio,374,3393,18.1,1
ТЦ/бизнес-центр,профи,FlexForge Studio,2054,6822,21.6,1
ТЦ/бизнес-центр,средний,FlexForge Ultra,787,11760,16.4,1
Окраина/промзона,средний,Фитнес-хаус,694,9218,12.8,1
Спальный район,профи,Лёгкая атлетика +,1337,8378,4.1,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,1984,2625,1.4,1
ТЦ/бизнес-центр,профи,Олимпийские надежды,1370,4617,11.2,1
ТЦ/бизнес-центр,профи,Олимпийские надежды,234,5661,1.3,1
Спальный район,элита,FlexForge Ultra,1198,5542,14.3,1
ТЦ/бизнес-центр,элита,Волна здоровья,1532,5933,9.6,1
ТЦ/бизнес-центр,средний,FlexForge Ultra,2785,11862,19.0,1
Окраина/промзона,средний,IronFlex Pro,2997,10138,7.7,1
ТЦ/бизнес-центр,профи,FlexForge Premium ВДНХ,1237,4158,14.9,1
Спальный район,средний,Тренерский центр,573,4983,13.5,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,2804,4444,0.2,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,1651,8710,1.9,1
ТЦ/бизнес-центр,профи,Фитнес-хаус,1951,9153,7.3,1
Окраина/промзона,средний,Качалка на районе,2480,10287,22.1,1
Окраина/промзона,средний,Тонус-клуб Коломенская,904,3486,3.8,1
Окраина/промзона,средний,FlexForge Studio,762,2574,17.8,1
Спальный район,новички,Волна здоровья,2973,5805,24.3,1
Спальный район,элита,Домашний фитнес,2073,4507,19.8,1
ТЦ/бизнес-центр,средний,SportFlex Крылатское,2323,2469,6.1,1
Спальный район,средний,Качалка у Палыча,638,10272,22.7,1
Окраина/промзона,новички,FlexForge Gym,2083,4324,2.4,1
ТЦ/бизнес-центр,профи,Фитнес-планета,2179,2711,11.8,1
ТЦ/бизнес-центр,профи,Здоровая спина,898,1729,22.2,1
ТЦ/бизнес-центр,средний,Домашний фитнес,1512,5784,16.1,1
ТЦ/бизнес-центр,новички,FlexForge Light,1763,4685,10.4,1
ТЦ/бизнес-центр,средний,FlexForge Light,891,2001,7.4,1
Спальный район,средний,FlexExpress Химки,2500,11824,9.4,1
Спальный район,профи,Железная тяга,1400,1548,12.8,1
Окраина/промзона,профи,Лёгкая атлетика +,2657,5066,8.0,1
Окраина/промзона,средний,SportFlex Крылатское,1834,4555,24.2,1
Спальный район,средний,FlexExpress Химки,1833,10380,23.3,1
Спальный район,элита,FlexForge Lux Патрики,326,1886,21.8,1
Спальный район,средний,FlexForge Studio,1706,2469,10.6,1
Спальный район,профи,Здоровая спина,1391,10697,17.3,1
Спальный район,новички,Элит-фитнес Рублёвка,2839,7320,22.6,1
Спальный район,средний,Тонус-клуб Коломенская,493,4552,21.3,1
Спальный район,новички,Качалка на районе,1566,8897,10.4,1
Спальный район,средний,Тонус-клуб Коломенская,1219,3802,2.9,1
Спальный район,элита,Элит-фитнес Рублёвка,2557,3783,2.0,1
Спальный район,средний,FlexForge Studio,2909,11299,14.5,1
Окраина/промзона,новички,Волна здоровья,2775,5866,16.1,1
Окраина/промзона,новички,Тонус-клуб Коломенская,2787,1622,21.3,0
ТЦ/бизнес-центр,средний,Адапт-фитнес,618,8299,7.4,1
Окраина/промзона,средний,Тонус-клуб Коломенская,643,10972,4.3,0
Спальный район,новички,Здоровая спина,884,5227,9.5,1
Окраина/промзона,профи,Домашний фитнес,2483,9950,8.9,1
Окраина/промзона,средний,Лёгкая атлетика +,1662,10639,3.4,1
Спальный район,средний,Волна здоровья,2461,6458,16.8,1
ТЦ/бизнес-центр,элита,Волна здоровья,284,2024,12.8,1
Спальный район,новички,Тренерский центр,1967,10579,18.1,1
Спальный район,элита,IronFlex Pro,284,9899,8.9,1
Спальный район,средний,Олимпийские надежды,2144,1648,8.2,1
Спальный район,элита,Домашний фитнес,2312,9501,11.9,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,1869,1937,21.9,1
Окраина/промзона,профи,FlexForge Metro,862,11894,1.1,1
Окраина/промзона,элита,IronFlex Pro,826,5249,20.1,1
Спальный район,средний,FlexForge Light,263,9686,9.3,1
ТЦ/бизнес-центр,элита,Тяжёлый вес,1118,5953,21.4,1
Спальный район,средний,Фитнес-хаус,1575,6836,20.1,1
ТЦ/бизнес-центр,средний,Фитнес-планета,1381,6051,8.8,1
Окраина/промзона,средний,IronFlex Pro,1812,4323,17.4,1
ТЦ/бизнес-центр,средний,Тяжёлый вес,690,7228,4.1,1
Спальный район,средний,Спартанец,2078,10177,22.4,1
Спальный район,профи,Тренерский центр,2140,9891,10.2,0
Спальный район,средний,Фитнес-планета,512,3482,11.4,0
Спальный район,профи,Заводной фитнес,2862,8496,17.7,1
Окраина/промзона,профи,Качалка у Палыча,1118,11163,20.5,1
ТЦ/бизнес-центр,средний,Ритм-фитнес Кунцево,2082,3811,6.0,1
ТЦ/бизнес-центр,средний,Волна здоровья,1012,8725,16.6,1
ТЦ/бизнес-центр,средний,Железная тяга,1689,11770,9.9,1
Окраина/промзона,средний,FlexForge Basic Выхино,1526,11213,9.3,1
Окраина/промзона,новички,Лёгкая атлетика +,879,2104,17.3,1
Спальный район,средний,Фитнес-хаус,634,9675,9.7,0
Спальный район,средний,Тренерский центр,881,7285,8.7,1
Спальный район,элита,FlexForge Mini,1358,11109,20.9,1
ТЦ/бизнес-центр,профи,Тонус-клуб Коломенская,1273,6097,2.6,1
Окраина/промзона,средний,Фитнес-хаус,1655,9259,16.9,1
Спальный район,профи,Спартанец,2587,9032,6.3,1
Спальный район,новички,Домашний фитнес,2594,10240,0.5,1
Спальный район,средний,Олимпийские надежды,2893,2338,4.3,1
ТЦ/бизнес-центр,профи,Волна здоровья,1570,5315,15.2,1
ТЦ/бизнес-центр,средний,FlexForge Gym,848,2347,17.8,1
Окраина/промзона,средний,FlexForge Metro,444,6209,0.6,1
ТЦ/бизнес-центр,элита,Спартанец,2356,6007,1.0,1
Спальный район,элита,Тренерский центр,2780,8075,22.6,1
ТЦ/бизнес-центр,профи,Качалка на районе,495,6273,1.9,1
Спальный район,профи,Лёгкая атлетика +,2359,5968,22.4,1
Спальный район,профи,Лёгкая атлетика +,1812,11964,5.8,1
Спальный район,средний,FlexForge Basic Выхино,2590,6692,18.5,1
Окраина/промзона,средний,Домашний фитнес,2348,4820,7.8,1
Спальный район,новички,Адапт-фитнес,2876,6198,21.5,1
Спальный район,средний,Ритм-фитнес Кунцево,1827,5811,17.5,1
Спальный район,средний,Олимпийские надежды,227,11688,10.1,1
Спальный район,средний,Элит-фитнес Рублёвка,2185,5173,2.0,1
Окраина/промзона,элита,FlexExpress Химки,1760,3064,18.3,1
Окраина/промзона,элита,FlexForge Ultra,257,3340,15.5,1
ТЦ/бизнес-центр,профи,FlexForge Metro,1721,7558,0.2,1
ТЦ/бизнес-центр,средний,Качалка на районе,496,8631,0.3,1
Спальный район,элита,Здоровая спина,2381,2226,20.2,1
Спальный район,новички,FlexExpress Химки,2496,10936,6.6,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,2797,8197,15.9,1
Спальный район,новички,Волна здоровья,1101,10757,11.4,1
Спальный район,профи,FlexForge Ultra,2164,1782,21.6,1
Спальный район,средний,SportFlex Крылатское,1298,2581,22.9,1
Окраина/промзона,элита,Фитнес-планета,1877,5385,24.9,1
ТЦ/бизнес-центр,элита,FlexForge Basic Выхино,1391,4381,3.9,1
ТЦ/бизнес-центр,новички,Волна здоровья,970,4470,21.6,1
Окраина/промзона,средний,Фитнес-хаус,1726,10844,6.7,0
Спальный район,элита,Железная тяга,1578,8485,14.8,1
Спальный район,средний,Волна здоровья,1448,2447,12.7,1
Спальный район,элита,Качалка у Палыча,1754,6260,0.5,1
ТЦ/бизнес-центр,профи,Железная тяга,345,11409,23.3,1
Окраина/промзона,средний,Домашний фитнес,2183,1566,2.1,0
Окраина/промзона,средний,FlexForge Mini,1464,10328,17.2,1
Спальный район,средний,Тонус-клуб Коломенская,2107,10005,19.6,1
Спальный район,профи,Тонус-клуб Коломенская,2591,2064,19.9,1
Спальный район,средний,Тонус-клуб Коломенская,1972,11293,3.5,1
Спальный район,средний,Качалка на районе,1258,10517,11.2,1
ТЦ/бизнес-центр,средний,Фитнес-планета,2949,5170,20.8,1
Окраина/промзона,профи,Тренерский центр,2248,10717,7.6,1
ТЦ/бизнес-центр,элита,Тонус-клуб Коломенская,2219,3751,11.7,1
Окраина/промзона,элита,Элит-фитнес Рублёвка,352,2304,6.9,1
Спальный район,средний,Олимпийские надежды,2676,6131,11.6,1
ТЦ/бизнес-центр,профи,Тонус-клуб Коломенская,707,11083,22.2,1
Спальный район,профи,Адапт-фитнес,690,2735,11.4,1
Окраина/промзона,профи,Домашний фитнес,544,8220,13.9,0
Окраина/промзона,элита,Фитнес-планета,2135,8406,10.2,1
Окраина/промзона,средний,FlexForge Gym,1961,7516,11.6,1
Спальный район,новички,FlexForge Basic Выхино,420,5049,0.5,0
Спальный район,элита,FlexForge Metro,2138,9438,7.2,1
Окраина/промзона,средний,FlexForge Gym,2142,5641,11.0,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,922,8466,15.9,1
Спальный район,элита,FlexForge Lux Патрики,727,11046,11.3,1
ТЦ/бизнес-центр,новички,Адапт-фитнес,1722,6835,8.5,1
Окраина/промзона,элита,FlexForge Light,1864,6577,9.8,1
Окраина/промзона,средний,FlexForge Lux Патрики,680,7111,6.1,1
ТЦ/бизнес-центр,средний,Железная тяга,2071,11528,23.1,1
Окраина/промзона,профи,Здоровая спина,1662,9589,13.1,1
Окраина/промзона,элита,FlexForge Studio,1625,4392,0.4,1
ТЦ/бизнес-центр,новички,FlexForge Lux Патрики,544,7077,0.6,1
Спальный район,средний,FlexForge Ultra,244,5118,24.3,1
Окраина/промзона,профи,SportFlex Крылатское,2268,3059,5.6,1
ТЦ/бизнес-центр,профи,Фитнес-планета,1857,8183,20.2,1
Спальный район,профи,Фитнес-планета,2087,3007,1.6,1
Спальный район,новички,Тренерский центр,2295,3563,23.0,1
Окраина/промзона,средний,FlexForge Studio,1714,5142,21.9,1
Окраина/промзона,средний,FlexExpress Химки,2798,3500,14.3,1
Окраина/промзона,профи,Тренерский центр,2534,2794,0.3,1
Спальный район,средний,Элит-фитнес Рублёвка,1201,5565,6.5,1
Окраина/промзона,средний,FlexForge Gym,1233,9514,10.2,1
Окраина/промзона,элита,Олимпийские надежды,2789,11445,11.6,1
Спальный район,новички,Домашний фитнес,2240,3103,7.5,1
Окраина/промзона,элита,Железная тяга,473,2822,0.9,0
ТЦ/бизнес-центр,профи,SportFlex Крылатское,1155,7456,14.8,0
Спальный район,профи,FlexForge Basic Выхино,2847,3941,13.2,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,1979,2598,7.1,1
ТЦ/бизнес-центр,новички,Олимпийские надежды,580,6573,1.0,1
ТЦ/бизнес-центр,профи,Фитнес-планета,1552,11197,24.9,1
Спальный район,профи,Качалка у Палыча,678,10818,12.1,1
Спальный район,профи,Качалка на районе,2262,9988,18.9,1
Окраина/промзона,новички,IronFlex Pro,715,11917,11.4,1
ТЦ/бизнес-центр,профи,FlexForge Gym,390,5287,1.2,1
Спальный район,профи,Домашний фитнес,1391,3596,7.8,1
Спальный район,профи,Тренерский центр,2868,3708,8.1,1
Окраина/промзона,профи,Лёгкая атлетика +,1360,7488,21.0,1
Спальный район,профи,FlexForge Premium ВДНХ,2401,1675,16.4,1
Спальный район,профи,Тренерский центр,1611,8669,7.0,1
Окраина/промзона,новички,FlexForge Basic Выхино,471,7514,24.2,1
Спальный район,средний,FlexForge Mini,342,3167,8.1,1
ТЦ/бизнес-центр,новички,Тренерский центр,2112,10367,25.0,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,1292,3323,24.9,1
Окраина/промзона,средний,Спартанец,2494,6647,4.9,1
ТЦ/бизнес-центр,новички,Фитнес-планета,987,2856,7.9,1
Окраина/промзона,средний,FlexExpress Химки,2326,4572,12.2,1
Спальный район,новички,Заводной фитнес,1881,4759,16.6,1
Окраина/промзона,профи,FlexForge Studio,822,7699,13.2,1
Окраина/промзона,элита,FlexForge Light,2772,2046,24.2,1
Окраина/промзона,новички,FlexForge Mini,1137,6731,18.1,1
Спальный район,элита,IronFlex Pro,1318,9465,5.4,1
Окраина/промзона,средний,FlexForge Ultra,816,3583,2.7,1
Спальный район,средний,Ритм-фитнес Кунцево,1231,3540,17.2,1
Спальный район,новички,Качалка на районе,266,6034,4.0,1
Спальный район,средний,Тонус-клуб Коломенская,390,3252,19.7,1
Окраина/промзона,профи,Лёгкая атлетика +,720,11307,7.8,1
Окраина/промзона,профи,Фитнес-хаус,1189,3349,8.2,1
Окраина/промзона,новички,FlexForge Basic Выхино,1340,4142,0.4,1
Спальный район,новички,Фитнес-хаус,2514,3100,17.6,1
Спальный район,средний,Фитнес-хаус,1834,5902,2.9,1
Окраина/промзона,средний,Тренерский центр,2732,5299,19.3,1
ТЦ/бизнес-центр,средний,FlexForge Metro,1387,2118,12.3,1
ТЦ/бизнес-центр,средний,FlexForge Light,575,2632,19.6,1
Спальный район,профи,Лёгкая атлетика +,852,6991,14.6,1
Спальный район,элита,Заводной фитнес,748,7295,2.2,1
Спальный район,средний,Тонус-клуб Коломенская,1297,11807,19.2,1
ТЦ/бизнес-центр,элита,Волна здоровья,272,9133,1.8,1
ТЦ/бизнес-центр,средний,Здоровая спина,2555,2987,12.0,1
ТЦ/бизнес-центр,средний,Тяжёлый вес,398,9348,4.4,0
Окраина/промзона,средний,Спартанец,1981,6509,18.8,1
Спальный район,профи,FlexForge Ultra,771,11249,22.8,1
Спальный район,элита,FlexForge Light,990,3613,13.9,1
Спальный район,профи,IronFlex Pro,1838,2544,13.2,1
ТЦ/бизнес-центр,средний,Заводной фитнес,2031,3931,19.1,1
Окраина/промзона,профи,Качалка на районе,2055,9479,0.2,1
Окраина/промзона,новички,Качалка на районе,1710,3082,23.0,1
ТЦ/бизнес-центр,элита,SportFlex Крылатское,1374,2808,5.0,1
Спальный район,средний,Ритм-фитнес Кунцево,378,6417,24.6,1
Окраина/промзона,средний,FlexForge Gym,2444,10293,18.4,1
Окраина/промзона,профи,FlexForge Metro,934,3120,19.4,1
Спальный район,профи,FlexForge Mini,2336,9003,16.4,1
Спальный район,новички,Качалка у Палыча,998,6266,11.8,0
ТЦ/бизнес-центр,профи,IronFlex Pro,987,6862,14.3,1
Окраина/промзона,средний,FlexForge Ultra,2995,6692,1.3,1
ТЦ/бизнес-центр,профи,IronFlex Pro,408,8122,15.6,1
Окраина/промзона,профи,Тренерский центр,692,7593,15.7,1
Спальный район,профи,FlexForge Metro,2912,8204,22.3,1
Спальный район,профи,FlexForge Lux Патрики,1857,1600,12.7,1
Спальный район,средний,Тяжёлый вес,931,8157,2.0,1
ТЦ/бизнес-центр,новички,FlexForge Mini,1329,7375,7.7,1
ТЦ/бизнес-центр,профи,Домашний фитнес,1805,5771,16.4,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,2945,1737,6.1,1
ТЦ/бизнес-центр,средний,FlexForge Light,793,8726,7.1,1
Окраина/промзона,средний,FlexForge Light,1415,9532,20.5,1
Спальный район,новички,Лёгкая атлетика +,524,6718,14.6,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,1178,5525,12.8,1
Окраина/промзона,новички,Железная тяга,1949,7573,8.0,1
Окраина/промзона,профи,SportFlex Крылатское,2050,4042,18.3,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,1690,11695,7.3,1
Окраина/промзона,новички,FlexForge Light,1093,3037,18.5,1
ТЦ/бизнес-центр,средний,FlexForge Mini,1590,2254,1.8,1
Спальный район,новички,FlexForge Gym,343,11950,21.6,1
Окраина/промзона,средний,Здоровая спина,583,8896,12.5,1
Спальный район,профи,Олимпийские надежды,2463,9323,11.0,1
ТЦ/бизнес-центр,новички,FlexForge Studio,2571,7007,15.3,1
Окраина/промзона,профи,FlexForge Lux Патрики,416,5735,15.6,1
ТЦ/бизнес-центр,новички,FlexForge Gym,1715,2040,3.4,1
ТЦ/бизнес-центр,средний,FlexForge Metro,2430,7010,18.9,1
Спальный район,профи,Тонус-клуб Коломенская,2517,9961,7.0,1
Спальный район,средний,FlexForge Mini,1690,9426,22.6,1
Спальный район,новички,FlexForge Light,1835,6631,20.5,1
ТЦ/бизнес-центр,средний,Тяжёлый вес,2714,10197,8.7,1
Окраина/промзона,средний,SportFlex Крылатское,2552,2629,20.2,1
Спальный район,профи,SportFlex Крылатское,1367,11771,9.0,1
ТЦ/бизнес-центр,средний,Фитнес-планета,310,4645,2.6,1
Окраина/промзона,профи,FlexForge Gym,1213,10053,24.1,1
Окраина/промзона,элита,Спартанец,431,5220,16.3,1
Окраина/промзона,средний,Домашний фитнес,1914,11148,11.5,1
Окраина/промзона,элита,Качалка у Палыча,1955,5567,10.0,1
Спальный район,средний,FlexForge Gym,2842,5695,8.2,1
Спальный район,элита,Качалка у Палыча,1777,11373,24.5,1
ТЦ/бизнес-центр,новички,FlexForge Light,1496,10744,3.5,1
Спальный район,профи,FlexForge Studio,2420,8781,7.9,1
Спальный район,средний,FlexExpress Химки,1172,4009,12.2,1
Спальный район,средний,IronFlex Pro,1230,6516,12.0,1
Окраина/промзона,профи,FlexForge Studio,2793,8033,11.8,1
Спальный район,профи,Адапт-фитнес,2795,6227,4.5,1
ТЦ/бизнес-центр,новички,SportFlex Крылатское,717,2181,3.7,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,1113,5432,6.4,1
Спальный район,профи,Тренерский центр,2462,11821,22.9,1
ТЦ/бизнес-центр,профи,Тонус-клуб Коломенская,2381,7060,2.9,1
Окраина/промзона,элита,Домашний фитнес,2532,5516,19.0,1
Спальный район,профи,FlexForge Mini,2144,8839,19.0,1
Спальный район,элита,SportFlex Крылатское,1662,2219,20.3,1
Спальный район,профи,Олимпийские надежды,2072,1574,22.2,1
Окраина/промзона,средний,Качалка у Палыча,2933,10985,6.6,1
Спальный район,новички,FlexForge Basic Выхино,2578,11614,5.7,1
Спальный район,профи,Качалка у Палыча,1507,5657,11.7,1
Спальный район,профи,Тяжёлый вес,1098,10011,6.7,1
Спальный район,новички,Качалка на районе,1298,3649,18.4,1
Окраина/промзона,средний,Лёгкая атлетика +,1389,11144,15.9,0
Окраина/промзона,элита,Тяжёлый вес,1412,11247,21.9,1
Спальный район,средний,Адапт-фитнес,2325,8213,2.2,1
Окраина/промзона,средний,Железная тяга,887,5707,22.9,1
Окраина/промзона,средний,Домашний фитнес,2268,8641,7.4,1
Окраина/промзона,средний,Волна здоровья,765,10152,12.3,1
Окраина/промзона,средний,FlexForge Mini,1407,10578,11.0,1
Спальный район,средний,Заводной фитнес,2094,5436,19.0,1
Спальный район,новички,Домашний фитнес,1026,10807,10.6,1
Спальный район,профи,Спартанец,1551,2575,23.6,1
Окраина/промзона,средний,Здоровая спина,2426,5376,22.6,1
ТЦ/бизнес-центр,профи,Волна здоровья,2011,6115,21.8,1
Окраина/промзона,элита,FlexForge Metro,1282,8765,1.9,1
Окраина/промзона,средний,FlexForge Studio,1550,7879,21.4,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,1844,11616,19.6,1
Окраина/промзона,средний,FlexForge Light,2916,10618,2.7,1
ТЦ/бизнес-центр,элита,FlexForge Light,390,6152,2.8,1
Спальный район,средний,FlexForge Basic Выхино,1423,8292,2.6,1
Окраина/промзона,профи,FlexForge Ultra,1535,11973,0.4,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,907,10747,13.8,1
Окраина/промзона,средний,Волна здоровья,578,8956,24.3,1
Окраина/промзона,новички,Волна здоровья,586,6174,11.0,0
Спальный район,профи,FlexForge Light,2484,2041,13.6,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,815,3661,24.2,1
Спальный район,средний,FlexForge Studio,1742,3751,6.5,1
Спальный район,профи,FlexForge Lux Патрики,2530,10744,21.5,1
Окраина/промзона,средний,FlexForge Premium ВДНХ,2248,6069,13.7,1
Спальный район,профи,FlexForge Premium ВДНХ,1954,4244,14.3,1
Спальный район,средний,Фитнес-хаус,663,7541,8.6,1
Спальный район,элита,FlexForge Light,1166,6175,14.1,1
Спальный район,средний,Лёгкая атлетика +,371,3060,1.9,1
Окраина/промзона,средний,Фитнес-планета,1346,2664,19.1,1
ТЦ/бизнес-центр,новички,Здоровая спина,1042,6919,7.2,1
Окраина/промзона,новички,Тонус-клуб Коломенская,1521,4222,22.2,1
Спальный район,средний,FlexForge Ultra,2108,1970,9.3,1
Окраина/промзона,средний,Тяжёлый вес,889,11108,3.7,1
Спальный район,профи,FlexForge Light,2822,2968,17.4,1
Спальный район,новички,Тренерский центр,1707,9425,4.2,1
Окраина/промзона,средний,Олимпийские надежды,2412,2308,18.9,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,2224,9863,24.2,1
Окраина/промзона,новички,Тонус-клуб Коломенская,1922,8219,19.5,1
Спальный район,новички,Тяжёлый вес,582,6573,0.7,1
ТЦ/бизнес-центр,средний,Здоровая спина,2456,9512,15.0,1
Спальный район,средний,Фитнес-хаус,1612,3145,17.4,1
Окраина/промзона,средний,Тяжёлый вес,1783,9749,20.7,1
ТЦ/бизнес-центр,средний,FlexForge Light,2471,2629,1.5,1
Спальный район,профи,FlexForge Metro,2250,2853,12.1,1
Спальный район,новички,Железная тяга,571,2267,13.4,0
Спальный район,средний,Лёгкая атлетика +,1910,5395,4.3,1
ТЦ/бизнес-центр,элита,FlexForge Gym,1669,10374,8.1,1
Окраина/промзона,средний,FlexForge Mini,810,4954,11.1,1
Окраина/промзона,профи,Адапт-фитнес,315,11700,20.8,0
Окраина/промзона,средний,IronFlex Pro,646,8829,23.2,1
Окраина/промзона,профи,Тренерский центр,1591,3290,15.7,0
ТЦ/бизнес-центр,профи,FlexExpress Химки,1540,11169,9.9,1
Окраина/промзона,средний,FlexForge Studio,614,2385,6.4,0
ТЦ/бизнес-центр,элита,FlexForge Ultra,2008,9234,24.6,1
ТЦ/бизнес-центр,новички,Лёгкая атлетика +,1247,5406,24.6,1
Спальный район,новички,Домашний фитнес,2910,5992,23.1,1
Спальный район,профи,FlexForge Metro,2073,11230,19.7,1
Окраина/промзона,профи,FlexForge Light,1273,3573,8.2,1
Спальный район,новички,FlexForge Ultra,917,1812,20.4,1
Спальный район,средний,Адапт-фитнес,1558,7769,10.3,1
Спальный район,новички,Олимпийские надежды,1805,6817,8.2,1
Окраина/промзона,средний,Домашний фитнес,2518,2310,18.6,1
Спальный район,профи,FlexForge Ultra,761,11927,2.1,1
Спальный район,средний,FlexForge Light,2494,8341,1.3,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,586,3532,11.3,1
Окраина/промзона,средний,Спартанец,901,11199,11.2,1
Спальный район,новички,Домашний фитнес,2806,11586,22.4,1
ТЦ/бизнес-центр,средний,Спартанец,1172,8629,3.2,1
ТЦ/бизнес-центр,профи,IronFlex Pro,1584,4205,3.2,1
Спальный район,элита,Тренерский центр,1183,10288,3.8,1
Спальный район,профи,Лёгкая атлетика +,1711,3647,0.8,1
Спальный район,новички,Тонус-клуб Коломенская,551,2115,1.9,1
Окраина/промзона,элита,Ритм-фитнес Кунцево,1924,2447,16.5,1
ТЦ/бизнес-центр,профи,Волна здоровья,2151,7177,10.8,1
Спальный район,профи,Фитнес-хаус,1479,6151,19.1,1
Окраина/промзона,средний,Заводной фитнес,2107,9366,24.8,1
Спальный район,средний,Волна здоровья,952,3513,16.5,1
Спальный район,средний,FlexForge Basic Выхино,1224,5197,1.4,1
Спальный район,новички,Качалка на районе,745,1990,2.7,1
Спальный район,средний,Спартанец,1669,5850,22.0,1
Окраина/промзона,средний,Тренерский центр,278,3928,13.2,0
Спальный район,средний,Волна здоровья,1459,6487,20.6,1
Окраина/промзона,профи,Домашний фитнес,2581,10233,21.4,1
ТЦ/бизнес-центр,средний,FlexForge Premium ВДНХ,1088,10979,23.2,0
ТЦ/бизнес-центр,новички,FlexForge Mini,1305,11325,23.8,1
ТЦ/бизнес-центр,элита,Волна здоровья,2749,6420,13.9,1
Спальный район,элита,Заводной фитнес,2190,4426,8.6,1
Спальный район,профи,FlexForge Studio,1700,11044,24.1,1
